course code|link|course name|description
BKS1001H|http://current.ischool.utoronto.ca/course-descriptions/bks1001h|Introduction to Book History|"Offered in the Fall Term and required of all students in the BHPC Program, this foundational course provides an introduction to basic topics such as the semiotics of the book; orality and writing systems; book production from manuscript to the latest computer technology; the development of printing; the concept of authorship; copyright; censorship; the economics of book production and distribution; libraries and the organization of information; principles of bibliographical description; print in other formats (newspapers, magazines, advertisements, etc.); reading and readership; editorial theory and practice. We will also study artifacts and tools of the trade in situ through visits to the Fisher Rare Book Library, Massey College Press, and Coach House Press.
Enrolment normally limited to students registered in the BHPC Program.
Note: 
May be available to students outside the program by Permission of Instructor."
BKS1002H|http://current.ischool.utoronto.ca/course-descriptions/bks1002h|Book History in Practice|"Offered in the Winter Term and required of all master's students in the BHPC Program, this seminar is a continuation of BKS1001HF. The approach of the course reflects what David Greetham calls ""the disciplinary interrelatedness of all aspects of the study of the book"" (Textual Scholarship 2). The course consists of seminars on key topics in book history, punctuated by case studies of particular books, events, and debates. These case studies are designed to pull together ongoing threads of inquiry from the readings, and to allow students to work outward from specific artifacts to general questions. 
Enrolment normally limited to master's students registered in the BHPC Program.
Pre-requisite: 
BKS1001H 
Note: 
May be available to students outside the program by Permission of Instructor."
C&T1006H|http://current.ischool.utoronto.ca/course-descriptions/ct1006h|Mind, Media and Society 1|"The object of this course is to examine the effects of communication media on psychological and social processes. In keeping with McLuhan's notion that ""the medium is the message"", the study of media should invite considerations about how people and institutions are affected by the specific technical, economic and social features of media, especially those that involve mind and language. We will begin to acquaint students with readings and methods with a review of some of McLuhan's basic themes and then explore theoretical and historical approaches to the associations of language, mind and media, from the earlier oral communities to the latest network societies. We will see how the alphabet affected our visual processing abilities and created the need for perspective and theatre directly through the reading process, and why the Internet is the principal cognitive figure of language processed by electricity. This will lead to the study of ""psycho-technologies"", that is technologies that spring from or to the mind, and of the ""psychodynamics"" these technologies provoke and develop. Technopsychology can also be applied for a close study of how networks, the web and the Internet affect social and personal interactions.
Note for winter 2013:  This will be the last time this course is offered in its present form.[*]   The emphasis will be on the “review of some of McLuhan's basic themes,” through a careful reading of McLuhan’s major works (especially the earlier ones), coupled with an analysis of their content, impact, and lasting value.  Secondary literature will be examined, as part of an exploration of the influence of McLuhan’s work on the emergence of the Internet and social media.  In a sense, this last offering will be taken as an opportunity to take stock of the content and overall significance of McLuhan's contribution.
*In 2013-14, C&T1006 is expected to be replaced by “INF1501H: Culture and Technology I"", as part of the launch of the new Culture and Technology concentration.
Note: 
formerly JAC1001H"
GGR1922H|http://current.ischool.utoronto.ca/course-descriptions/ggr1922h|Topics in Geographical Information Science|"Formal representation of geographic knowledge and its use to integrate spatial data, spatial query processes, and models of geographic phenomena. Review of AI/GIS applications. For further details see the information listed on Department of Geography's website.
Note: 
An Add/Drop Course form, approved by the Department of Geography, must be submitted to Student Services for internal approval."
INF1001H|http://current.ischool.utoronto.ca/course-descriptions/inf1001h|Knowledge and Information in Society|"This course provides an introduction to the ways that information and information processes shape and are shaped by society. In particular, it examines the social, institutional, political, legal, and economic roles of information and knowledge in public life, including how forms of new media, new distribution channels and new delivery systems are affecting traditional means of creating and disseminating information. We also discuss changes that stem from developments in the information environment at the individual, organizational and societal level.
Focal issues include: the politics, ethics, and values of information; information as an economic phenomenon; the institutional structure of knowledge and cultural production; and the role of information professionals in all of these activities.
The intent is to provide opportunity for students to: take a thematic approach to understanding the nature and role of information in both private and public spheres; create a contextual framework within which to analyze the major social issues and developments associated with information creation, dissemination and use; and consider the various perspectives that characterize current policy discussions on those issues as well as alternative interpretations to conventional wisdom.
Exclusion: 
INF/FIS 1210"
INF1002H|http://current.ischool.utoronto.ca/course-descriptions/inf1002h|Representation, Organization, Classification, and Meaning-Making|Fundamental epistemological and ontological issues in the use of knowledge and information in human activities. Analysis of issues in language, representation, interpretation, semantics, meaning-making, perception, conception, and cognition, integrating perspectives from multiple disciplines and traditions.
INF1003H|http://current.ischool.utoronto.ca/course-descriptions/inf1003h|Information Systems, Services and Design|"Fundamental perspectives and skills necessary for sound technical judgment about the place of information and communication technologies in contemporary society. Critical analysis of the design fabrication, deployment, use, and maintenance of information systems and services. Analysis of modeling, architecture, implementation, inclusive access, modularity, life-cycle, and interoperability. Use of and familiarity with programming languages, databases, interfaces, interactive technologies. Critical methods and analytic techniques from Science and Technology Studies and related disciplines.
Exclusion: 
FIS1311 or INF/FIS1340"
INF1005H|http://current.ischool.utoronto.ca/course-descriptions/inf1005h|Information Workshop|"Experiential, participatory workshop to integrate the skills, perspectives, and knowledge introduced in the other core courses. The intention of the workshops is to broaden your exposure to other areas; we encourage students to go outside of their comfort zone. Students will be working in groups.
Students must complete two (2) workshops (INF1005 and INF1006), each worth 0.25 FCE to fulfill the core requirements for the Master of Information degree. The workshops must be taken with different instructors. Normally INF1005 and INF1006 are taken during the same term. INF1005 is offered the first 6 weeks of the Winter term and INF1006 starts right after.
All instructors will give their workshop twice in the Session/Term - once in the first 6 weeks (week of January 6 to week of February 10), and again in the last 6 weeks of the Session/Term (week of February 24 to week of March 31) in the same time slot, or not.
Winter 2014 workshops and descriptions will be posted in the Fall term, prior to Winter course enrolment.
Sample of Winter 2013 descriptions for illustrative purposes only.
Section 0103 – Quantified self: wearable technologies and the materialization of digital media (Ratto)
Section 0105 –The library as conversation: the information professional as facilitator of conversation (Newman)
Section 0107 – Assessing usability: concepts, methods and tools (Cherry)
Section 0108 – Archives and social media (Duff)
Section 0110 – Statistics in Canada and the public’s right of access (McCaffrey)
 
Last day to add this course: January 17, 2014
 
Last day to drop this course: January 24, 2014
 
 
Note: 
Formerly INF1004"
INF1006H|http://current.ischool.utoronto.ca/course-descriptions/inf1006h|Information Workshop|"Experiential, participatory workshop to integrate the skills, perspectives, and knowledge introduced in the other core courses. The intention of the workshops is to broaden your exposure to other areas; we encourage students to go outside of their comfort zone. Students will be working in groups.
Students must complete two (2) workshops (INF1005 and INF1006), each worth 0.25 FCE to fulfill the core requirements for the Master of Information degree. The workshops must be taken with different instructors. Normally INF1005 and INF1006 are taken during the same term.
All instructors will give their workshop twice in the Session/Term - once in the first 6 weeks (week of January 6 to week of February 10), and again in the last 6 weeks of the Session/Term (week of February 24 to week of March 31) in the same time slot, or not.
Winter 2014 workshops and descriptions will be posted in the Fall term, prior to Winter course enrolment.
Sample of Winter 2013 descriptions for illustrative purposes only
Section 0103 – Quantified self: wearable technologies and the materialization of digital media (Ratto)
Section 0105 –The library as conversation: the information professional as facilitator of conversation (Newman)
Section 0107 – Assessing usability: concepts, methods and tools (Cherry)
Section 0108 – Archives and social media (Duff)
Section 0110 – Statistics in Canada and the public’s right of access (McCaffrey)
 
Last day to add this course: January 17, 2014
 
Last day to drop this course: January 24, 2014
Note: 
Formerly INF1004"
INF1230H|http://current.ischool.utoronto.ca/course-descriptions/inf1230h|Management of Information Organizations|An introduction to information organizations and the role of effective administration in the provision of information services through selected theories, principles, and techniques of administrative science, library and information science, information systems and archives. Familiarizes the student with the realities of participation in the management of information organizations.
